timestamp,views,vph
2026-03-21T16:24:23.118669Z,673137,0.0
2026-03-21T16:53:10.164987Z,1491335,1705520.4
2026-03-21T17:21:13.217818Z,2155139,1419857.0
2026-03-21T17:49:24.700039Z,2696766,1152750.6
2026-03-21T18:28:36.288968Z,3664140,1480933.3
2026-03-21T19:00:39.805767Z,4596981,1745879.0
2026-03-21T19:35:40.428766Z,5602956,1724017.1
2026-03-21T19:54:09.612729Z,6207129,1960921.6
2026-03-21T20:19:39.790350Z,6858795,1533153.8
2026-03-21T20:48:55.940526Z,7805241,1940156.2
2026-03-21T21:19:28.130265Z,8560086,1483166.3
2026-03-21T21:45:59.512381Z,9145426,1324147.1
2026-03-21T22:18:32.169764Z,10249783,2036038.3
2026-03-21T22:49:08.943346Z,10953001,1378278.1
2026-03-21T23:19:18.650869Z,11738046,1561667.8
2026-03-21T23:46:02.604835Z,12279672,1215654.3
2026-03-22T01:45:55.754011Z,14706562,1214600.7
2026-03-22T04:14:36.866741Z,18037450,1344136.9
2026-03-22T05:33:59.482368Z,19882320,1394513.5
2026-03-22T06:30:49.073111Z,21237622,1430989.1
2026-03-22T07:26:54.539832Z,22592356,1449143.0
2026-03-22T07:56:03.306186Z,23448890,1763255.8
2026-03-22T08:28:41.833404Z,24463265,1864538.8
2026-03-22T08:59:37.571077Z,25329786,1680989.5
2026-03-22T09:38:44.137845Z,26619453,1978550.6
2026-03-22T09:59:50.205649Z,27121933,1428776.6
2026-03-22T10:34:44.453146Z,27978965,1473233.3
2026-03-22T11:00:06.982590Z,28606195,1483076.7
2026-03-22T11:29:39.248124Z,29382583,1577075.6
2026-03-22T11:48:10.763946Z,29809979,1384258.8
2026-03-22T12:37:31.554616Z,30992309,1437584.9
2026-03-22T13:32:00.607052Z,32302894,1443264.1
2026-03-22T14:04:25.577080Z,33182029,1627215.8
2026-03-22T14:45:46.939008Z,34111029,1347808.2
2026-03-22T15:20:43.915396Z,34897522,1350217.8
2026-03-22T15:47:39.496772Z,35523968,1395909.6
2026-03-22T16:22:42.120530Z,36180544,1124154.3
